PASSENGERS,FREIGHT,MAIL,DISTANCE,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,MONTH,CLASS
0.00,0.00,0.00,0.00,"Western Air Charter, Inc.  d/b/a  Jet Edge",10408,"Appleton, WI",ATW,"Appleton, WI",10,L
0.00,0.00,0.00,57.00,"Western Air Charter, Inc.  d/b/a  Jet Edge",14320,"Chicago, IL",MKE,"Milwaukee, WI",6,L
0.00,0.00,0.00,67.00,Republic Airline,13342,"Milwaukee, WI",ORD,"Chicago, IL",2,F
0.00,0.00,0.00,67.00,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13342,"Milwaukee, WI",ORD,"Chicago, IL",1,L
0.00,0.00,0.00,67.00,United Air Lines Inc.,13342,"Milwaukee, WI",ORD,"Chicago, IL",2,F
0.00,0.00,0.00,67.00,United Air Lines Inc.,13342,"Milwaukee, WI",ORD,"Chicago, IL",3,F
0.00,0.00,0.00,67.00,United Air Lines Inc.,13342,"Milwaukee, WI",ORD,"Chicago, IL",7,F
0.00,0.00,0.00,67.00,United Air Lines Inc.,13342,"Milwaukee, WI",ORD,"Chicago, IL",9,F
0.00,0.00,0.00,74.00,United Air Lines Inc.,13342,"Milwaukee, WI",MSN,"Madison, WI",8,F
0.00,0.00,0.00,74.00,United Air Lines Inc.,13342,"Milwaukee, WI",MSN,"Madison, WI",9,F
0.00,0.00,0.00,78.00,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,11376,"Chicago, IL",UES,"Waukesha, WI",5,L
0.00,0.00,0.00,80.00,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13232,"Chicago, IL",MKE,"Milwaukee, WI",1,L
0.00,0.00,0.00,108.00,United Air Lines Inc.,13485,"Madison, WI",ORD,"Chicago, IL",4,F
0.00,0.00,0.00,124.00,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13485,"Madison, WI",MDW,"Chicago, IL",2,L
0.00,0.00,0.00,135.00,"Western Air Charter, Inc.  d/b/a  Jet Edge",15440,"Waukesha, WI",SBN,"South Bend, IN",5,L
0.00,0.00,0.00,173.00,United Air Lines Inc.,11977,"Green Bay, WI",ORD,"Chicago, IL",3,F
0.00,0.00,0.00,183.00,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14108,"Peoria, IL",MKE,"Milwaukee, WI",8,L
0.00,0.00,0.00,202.00,"Global Crossing Airlines, Inc.",11067,"Champaign/Urbana, IL",MKE,"Milwaukee, WI",2,L
0.00,0.00,0.00,208.00,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11003,"Cedar Rapids/Iowa City, IA",MKE,"Milwaukee, WI",1,L
